,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
,69.77%,16.28%,2.33%,4.65%,6.98%,,,,,,,,,
SOMS-111-505,35,3,3,0,1,42,3.69,0,0,0,0,0,42,SIMPSON M
,83.33%,7.14%,7.14%,0.00%,2.38%,,,,,,,,,
SOMS-111-506,34,6,1,0,2,43,3.627,0,0,0,1,0,44,SIMPSON M
,79.07%,13.95%,2.33%,0.00%,4.65%,,,,,,,,,
SOMS-111-508,33,3,2,1,2,41,3.56,0,0,0,0,0,41,VELA C
,80.49%,7.32%,4.88%,2.44%,4.88%,,,,,,,,,
SOMS-111-509,30,4,5,0,2,41,3.463,0,0,0,0,0,41,SIMPSON M
,73.17%,9.76%,12.20%,0.00%,4.88%,,,,,,,,,
SOMS-111-511,25,6,2,0,6,39,3.128,2,0,0,0,0,41,VELA C
,64.10%,15.38%,5.13%,0.00%,15.38%,,,,,,,,,
SOMS-111-512,36,4,2,0,1,43,3.72,0,0,0,0,0,43,VELA C
,83.72%,9.30%,4.65%,0.00%,2.33%,,,,,,,,,
SOMS-111-513,26,6,2,1,4,39,3.256,0,0,0,0,0,39,SIMPSON M
,66.67%,15.38%,5.13%,2.56%,10.26%,,,,,,,,,
SOMS-111-514,27,9,2,0,3,41,3.39,0,0,0,0,0,41,SIMPSON M
,65.85%,21.95%,4.88%,0.00%,7.32%,,,,,,,,,
SOMS-111-515,31,3,2,1,2,39,3.538,0,0,0,1,0,40,VELA C
,79.49%,7.69%,5.13%,2.56%,5.13%,,,,,,,,,
SOMS-111-516,30,5,2,1,2,40,3.5,0,0,0,1,0,41,VELA C
,75.00%,12.50%,5.00%,2.50%,5.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,"COMMANDANT, CORPS OF CADETS",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
SOMS-111-517,33,6,2,1,2,44,3.522,0,0,0,0,0,44,SIMPSON M
,75.00%,13.64%,4.55%,2.27%,4.55%,,,,,,,,,
SOMS-111-518,33,5,1,1,2,42,3.571,0,0,0,0,0,42,SIMPSON M
,78.57%,11.90%,2.38%,2.38%,4.76%,,,,,,,,,
SOMS-111-519,30,2,2,4,4,42,3.19,1,0,0,0,0,43,VELA C
,71.43%,4.76%,4.76%,9.52%,9.52%,,,,,,,,,
SOMS-111-521,34,2,2,0,2,40,3.65,0,0,0,0,0,40,VELA C
,85.00%,5.00%,5.00%,0.00%,5.00%,,,,,,,,,
COURSE TOTAL:,521,82,42,15,41,701,3.465,3,0,0,5,0,709,
,74.32%,11.70%,5.99%,2.14%,5.85%,,,,,,,,,
SOMS-180-501,22,5,0,0,0,27,3.814,0,0,0,0,0,27,NORRIS D
,81.48%,18.52%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-180-502,26,1,1,0,0,28,3.892,0,0,0,0,0,28,BRUMMETT K
,92.86%,3.57%,3.57%,0.00%,0.00%,,,,,,,,,
SOMS-180-503,26,7,0,0,0,33,3.787,0,0,0,0,0,33,DULKE M
,78.79%,21.21%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,74,13,1,0,0,88,3.829,0,0,0,0,0,88,
,84.09%,14.77%,1.14%,0.00%,0.00%,,,,,,,,,
SOMS-380-531,23,1,0,0,0,24,3.958,0,0,0,0,0,24,BROWN T
,95.83%,4.17%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-380-532,20,4,1,3,0,28,3.464,3,0,0,0,1,32,MCCLURE M
,71.43%,14.29%,3.57%,10.71%,0.00%,,,,,,,,,
SOMS-380-533,26,0,0,0,0,26,4,0,0,0,1,0,27,CRAWFORD K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
SOMS-380-534,25,0,0,0,0,25,4,0,0,0,0,0,25,SCOGGINS J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,"COMMANDANT, CORPS OF CADETS",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
SOMS-380-536,23,2,1,1,1,28,3.607,0,0,0,0,0,28,ARMSTRONG A
,82.14%,7.14%,3.57%,3.57%,3.57%,,,,,,,,,
SOMS-380-537,18,4,0,1,0,23,3.695,0,0,0,1,0,24,BROWN B
