SECTION,b,c,A,e,f,B,h,i,C,k,l,D,n,F,p,A_2,- F,s,t,GPA,v,I,x,y,S,aa,bb,U,dd,ee,Q,gg,hh,X,jj,kk,TOTAL,mm,INSTRUCTOR,oo,pp,qq,rr
COURSE TOTAL:,,12,,,5,,,1,,,0,,,1,,,19,,3.421,,,,False,,,0,,,False,,0,,,,False,,19,,,,,,
,,0.6316,,,0.2632,,,0.0526,,,0.0,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-304-500,,13,,,0,,,0,,,0,,,0,,,13,,4.0,,,,False,,,0,,,False,,0,,,,False,,13,GRAF K,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,,0,,,0,,,0,,,0,,,13,,4.0,,,,False,,,0,,,False,,0,,,,False,,13,,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-305-900,,5,,,7,,,1,,,0,,,1,,,14,,3.071,,,,False,,,0,,,False,,1,,,,False,,15,LINDERHOLM,,,A,,
,,0.3571,,,0.5,,,0.0714,,,0.0,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,7,,,1,,,0,,,1,,,14,,3.071,,,,False,,,0,,,False,,1,,,,False,,15,,,,,,
,,0.3571,,,0.5,,,0.0714,,,0.0,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-313-500,,9,,,5,,,3,,,0,,,0,,,17,,3.352,,,,False,,,0,,,False,,0,,,,False,,17,BENDIG C,,,,,
,,0.5294,,,0.2941,,,0.1765,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,,5,,,3,,,0,,,0,,,17,,3.352,,,,False,,,0,,,False,,0,,,,False,,17,,,,,,
,,0.5294,,,0.2941,,,0.1765,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-324-200,,7,,,1,,,0,,,0,,,0,,,8,,3.875,,,,False,,,0,,,False,,0,,,,False,,8,REGAN M,,,,,
,,0.875,,,0.125,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
