,33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,10,0,0,0,15,3.333,0,0,0,0,0,15,
,33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,COMMUNICATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,518,545,126,18,10,1217,3.268,2,1,0,14,1,1235,
,42.56%,44.78%,10.35%,1.48%,0.82%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ECONOMICS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ECON-202-100,40,21,16,4,1,82,3.158,0,0,0,0,0,82,SHAFIEZADEH
,48.78%,25.61%,19.51%,4.88%,1.22%,,,,,,,,,
COURSE TOTAL:,40,21,16,4,1,82,3.158,0,0,0,0,0,82,
,48.78%,25.61%,19.51%,4.88%,1.22%,,,,,,,,,
ECON-203-200,15,11,5,1,1,33,3.151,0,0,0,0,0,33,MA E
,45.45%,33.33%,15.15%,3.03%,3.03%,,,,,,,,,
COURSE TOTAL:,15,11,5,1,1,33,3.151,0,0,0,0,0,33,
,45.45%,33.33%,15.15%,3.03%,3.03%,,,,,,,,,
ECON-323-200,27,45,18,3,2,95,2.968,0,0,0,1,0,96,YAN X
,28.42%,47.37%,18.95%,3.16%,2.11%,,,,,,,,,
COURSE TOTAL:,27,45,18,3,2,95,2.968,0,0,0,1,0,96,
,28.42%,47.37%,18.95%,3.16%,2.11%,,,,,,,,,
ECON-440-100,14,19,16,5,1,55,2.727,0,0,0,6,0,61,KASSAS B
,25.45%,34.55%,29.09%,9.09%,1.82%,,,,,,,,,
COURSE TOTAL:,14,19,16,5,1,55,2.727,0,0,0,6,0,61,
,25.45%,34.55%,29.09%,9.09%,1.82%,,,,,,,,,
ECON-459-200,10,12,11,3,2,38,2.657,0,0,0,1,0,39,HOFFMANN M
,26.32%,31.58%,28.95%,7.89%,5.26%,,,,,,,,,
COURSE TOTAL:,10,12,11,3,2,38,2.657,0,0,0,1,0,39,
,26.32%,31.58%,28.95%,7.89%,5.26%,,,,,,,,,
ECON-465-900,6,5,3,0,0,14,3.214,0,0,0,0,0,14,VARGHESE A
,42.86%,35.71%,21.43%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,5,3,0,0,14,3.214,0,0,0,0,0,14,
,42.86%,35.71%,21.43%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ECONOMICS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,112,113,69,16,7,317,2.968,0,0,0,8,0,325,
,35.33%,35.65%,21.77%,5.05%,2.21%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ENGLISH,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ENGL-210-184,23,1,0,0,1,25,3.8,0,0,0,0,0,25,NEIGHBORS R
,92.00%,4.00%,0.00%,0.00%,4.00%,,,,,,,,,
ENGL-210-185,12,10,1,0,1,24,3.333,0,0,0,1,0,25,BAE K
,50.00%,41.67%,4.17%,0.00%,4.17%,,,,,,,,,
ENGL-210-186,14,6,0,0,0,20,3.7,0,0,0,1,0,21,BUSTAMANTE C
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-188,14,7,3,0,1,25,3.32,0,0,0,0,0,25,SNIDER J
,56.00%,28.00%,12.00%,0.00%,4.00%,,,,,,,,,
ENGL-210-189,18,3,1,1,0,23,3.652,1,0,0,0,0,24,ESTRADA-CARPENTER A
,78.26%,13.04%,4.35%,4.35%,0.00%,,,,,,,,,
ENGL-210-190,16,3,1,0,0,20,3.75,0,0,0,0,0,20,THIELMAN F
,80.00%,15.00%,5.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-191,19,2,0,0,2,23,3.565,0,0,0,1,0,24,TORABI K
,82.61%,8.70%,0.00%,0.00%,8.70%,,,,,,,,,
ENGL-210-192,21,2,0,0,1,24,3.75,0,0,0,0,0,24,MOHAMMED U
,87.50%,8.33%,0.00%,0.00%,4.17%,,,,,,,,,
ENGL-210-193,17,7,0,0,0,24,3.708,0,0,0,0,0,24,LEE S
,70.83%,29.17%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-194,10,11,2,1,1,25,3.12,0,0,0,0,0,25,LIEBE L
,40.00%,44.00%,8.00%,4.00%,4.00%,,,,,,,,,
ENGL-210-195,16,6,1,0,0,23,3.652,0,0,0,0,0,23,TRNINIC M
,69.57%,26.09%,4.35%,0.00%,0.00%,,,,,,,,,
ENGL-210-196,21,3,0,0,0,24,3.875,0,0,0,0,0,24,FRANCIS J
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-197,19,5,1,0,0,25,3.72,0,0,0,0,0,25,ROZIER J
,76.00%,20.00%,4.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ENGLISH,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ENGL-210-198,2,14,2,1,3,22,2.5,0,0,0,1,0,23,DUPLESSIS N
,9.09%,63.64%,9.09%,4.55%,13.64%,,,,,,,,,
ENGL-210-199,5,14,1,0,0,20,3.2,0,0,0,0,0,20,BLACKWELL C
,25.00%,70.00%,5.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-282,18,3,1,0,2,24,3.458,0,0,0,1,0,25,LEE S
,75.00%,12.50%,4.17%,0.00%,8.33%,,,,,,,,,
ENGL-210-283,14,6,1,0,1,22,3.454,1,0,0,1,0,24,SCHUTZ S
,63.64%,27.27%,4.55%,0.00%,4.55%,,,,,,,,,
ENGL-210-284,15,5,1,0,0,21,3.666,3,0,0,0,0,24,ALEXANDER G
,71.43%,23.81%,4.76%,0.00%,0.00%,,,,,,,,,
ENGL-210-285,24,0,0,0,0,24,4,0,0,0,1,0,25,KIM H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-286,11,9,2,0,2,24,3.125,0,0,0,0,0,24,FILBECK M
,45.83%,37.50%,8.33%,0.00%,8.33%,,,,,,,,,
ENGL-210-287,18,4,2,0,0,24,3.666,0,0,0,1,0,25,ESTRADA-CARPENTER A
,75.00%,16.67%,8.33%,0.00%,0.00%,,,,,,,,,
ENGL-210-288,7,13,2,0,0,22,3.227,0,0,0,2,0,24,EMBREE D
,31.82%,59.09%,9.09%,0.00%,0.00%,,,,,,,,,
ENGL-210-289,18,3,1,0,0,22,3.772,0,0,0,1,0,23,BARTZ E
,81.82%,13.64%,4.55%,0.00%,0.00%,,,,,,,,,
