BUSH-602-600,b,15,d,6,f,3,h,0,j,k,3_2,m,n,27,p,0.0,r,s,0_2,u,v,w,0_3,y,z,0_4,bb,cc,0_5,ee,ff,gg,3_3,ii,jj,30,ll,RAISOR,C,oo,pp
COURSE TOTAL:,,11,,13,,0,,0,,,0,,24,,,3.458,,0,,,,False,,,False,,,False,,,,False,,,24,,,,,,
,,0.4583,,0.5417,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-600,,9,,4,,0,,0,,,0,,13,,,3.692,,0,,,,False,,,False,,,True,,,,False,,,14,,,TABAAR M,,,
,,0.6923,,0.3077,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,4,,0,,0,,,0,,13,,,3.692,,0,,,,False,,,False,,,True,,,,False,,,14,,,,,,
,,0.6923,,0.3077,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-600,,11,,6,,3,,0,,,0,,20,,,3.4,,1,,,,False,,,False,,,False,,,,False,,,21,,,MAYBORN W,,,
,,0.55,,0.3,,0.15,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,,8,,10,,0,,0,,,1,,19,,,3.263,,1,,,,False,,,False,,,False,,,,False,,,20,,,CESARIO B,,,
,,0.4211,,0.5263,,0.0,,0.0,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,,6,,5,,1,,0,,,0,,12,,,3.416,,0,,,,False,,,False,,,False,,,,False,,,12,,,TALBOT B,,,
,,0.5,,0.4167,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,21,,4,,0,,,1,,51,,,3.352,,2,,,,False,,,False,,,False,,,,False,,,53,,,,,,
,,0.4902,,0.4118,,0.0784,,0.0,,,0.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
