ARCH-206-500,17,c,d,0,f,0_2,h,0_3,j,0_4,l,m,17_2,o,4.0,q,r,0_5,t,u,0_6,w,0_7,y,z,0_8,bb,cc,0_9,ee,ff,gg,17_3,KIM H,jj,kk
ARCH-305-931,,3,,5,,1,,1,,0,,,10,,3.0,,0,,,,False,,,False,1,,,,,False,,11,,VAHDAT ZAD V,,
,,0.3,,0.5,,0.1,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-932,,15,,0,,0,,0,,0,,,15,,4.0,,0,,,,False,,,False,0,,,,,False,,15,,CATAO CARTAXO,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,,10,,1,,0,,0,,0,,,11,,3.909,,1,,,,False,,,False,0,,,,,False,,12,,STEWART K,,
,,0.9091,,0.0909,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-934,,9,,2,,0,,0,,0,,,11,,3.818,,0,,,,False,,,False,0,,,,,False,,11,,LOPEZ DINARDI,M,
,,0.8182,,0.1818,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,37,,8,,1,,1,,0,,,47,,3.723,,1,,,,False,,,False,1,,,,,False,,49,,,,
,,0.7872,,0.1702,,0.0213,,0.0213,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-317-500,,10,,1,,0,,0,,0,,,11,,3.909,,0,,,,False,,,False,3,,,,,False,,14,,GORJIAN M,,
,,0.9091,,0.0909,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,1,,0,,0,,0,,,11,,3.909,,0,,,,False,,,False,3,,,,,False,,14,,,,
,,0.9091,,0.0909,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
