SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
AERO-214-502,,15,,14,,13,,3,,,2,,47,,,,2.787,,0,,,0,,,0,,,False,,,0,,47,,,KINRA V,,
,,0.3191,,0.2979,,0.2766,,0.0638,,,0.0426,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
AERO-214-503,,9,,24,,9,,4,,,0,,,46,,,2.826,,0,,,,False,,,False,,,False,,0,,46,,KINRA V,,,
,,0.1957,,0.5217,,0.1957,,0.087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,29,,70,,47,,12,,,2,,,160,,,2.7,,0,,,,False,,,False,,,False,,0,,160,,,,,
,,0.1813,,0.4375,,0.2938,,0.075,,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-200,,20,,7,,2,,1,,,0,,,30,,,3.533,,0,,,,False,,,False,,,True,,0,,31,,TROPINA A,,,
,,0.6667,,0.2333,,0.0667,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-500,,3,,3,,4,,2,,,2,,,14,,,2.214,,0,,,,False,,,False,,,False,,0,,14,,TROPINA A,,,
,,0.2143,,0.2143,,0.2857,,0.1429,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-501,,19,,13,,8,,3,,,0,,,43,,,3.116,,0,,,,False,,,False,,,False,,0,,43,,TROPINA A,,,
,,0.4419,,0.3023,,0.186,,0.0698,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-502,,22,,7,,0,,0,,,0,,,29,,,3.758,,0,,,,False,,,False,,,False,,0,,29,,MORTARI D,,,
,,0.7586,,0.2414,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-503,,18,,14,,10,,2,,,0,,,44,,,3.09,,0,,,,False,,,False,,,False,,0,,44,,MORTARI D,,,
,,0.4091,,0.3182,,0.2273,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,82,,44,,24,,8,,,2,,,160,,,3.225,,0,,,,False,,,False,,,True,,0,,161,,,,,
,,0.5125,,0.275,,0.15,,0.05,,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-289-500,,0,,3,,3,,0,,,2,,,8,,,1.875,,0,,,,False,,,False,,,False,,0,,8,,MORTARI D,,,
,,0.0,,0.375,,0.375,,0.0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,0,,3,,3,,0,,,2,,,8,,,1.875,,0,,,,False,,,False,,,False,,0,,8,,,,,
,,0.0,,0.375,,0.375,,0.0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-500,,24,,13,,6,,0,,,0,,,43,,,3.418,,0,,,,False,,,False,,,False,,0,,43,,GERAKIS A,,,
,,0.5581,,0.3023,,0.1395,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,13,,6,,0,,,0,,,43,,,3.418,,0,,,,False,,,False,,,False,,0,,43,,,,,
,,0.5581,,0.3023,,0.1395,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
AERO-303-200,,9,,2,,1,,0,,,0,,,12,,,3.666,,0,,,,False,,,False,,,False,,0,,12,,REED H,,,
,,0.75,,0.1667,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-500,,30,,22,,5,,0,,,2,,,59,,,3.322,,0,,,,False,,,False,,,False,,0,,59,,REED H,,,
,,0.5085,,0.3729,,0.0847,,0.0,,,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-501,,33,,29,,8,,0,,,0,,,70,,,3.357,,0,,,,False,,,False,,,False,,0,,70,,REED H,,,
,,0.4714,,0.4143,,0.1143,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,72,,53,,14,,0,,,2,,,141,,,3.368,,0,,,,False,,,False,,,False,,0,,141,,,,,
,,0.5106,,0.3759,,0.0993,,0.0,,,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,6,,9,,12,,7,,,2,,,36,,,2.277,,0,,,,False,,,False,,,False,,0,,36,,WHITCOMB J,,,
,,0.1667,,0.25,,0.3333,,0.1944,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,9,,12,,7,,,2,,,36,,,2.277,,0,,,,False,,,False,,,False,,0,,36,,,,,
,,0.1667,,0.25,,0.3333,,0.1944,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-500,,50,,7,,5,,0,,,0,,,62,,,3.725,,0,,,,False,,,False,,,False,,0,,62,,STROUBOULIS,,T,
,,0.8065,,0.1129,,0.0806,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-501,,34,,17,,4,,2,,,0,,,57,,,3.456,,0,,,,False,,,False,,,False,,0,,57,,STROUBOULIS,,T,
,,0.5965,,0.2982,,0.0702,,0.0351,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,84,,24,,9,,2,,,0,,,119,,,3.596,,0,,,,False,,,False,,,False,,0,,119,,,,,
,,0.7059,,0.2017,,0.0756,,0.0168,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-502,,18,,16,,31,,3,,,3,,,71,,,2.605,,1,,,,False,,,False,,,False,,0,,72,,CHAKRAVORTY,,S,
,,0.2535,,0.2254,,0.4366,,0.0423,,,0.0423,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,16,,31,,3,,,3,,,71,,,2.605,,1,,,,False,,,False,,,False,,0,,72,,,,,
,,0.2535,,0.2254,,0.4366,,0.0423,,,0.0423,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-500,,9,,25,,21,,1,,,0,,,56,,,2.75,,0,,,,False,,,False,,,False,,0,,56,,VALASEK J,,,
,,0.1607,,0.4464,,0.375,,0.0179,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
