PHEO-610-600,14,c,d,2,f,0,h,0_2,j,0_3,l,m,16,o,3.875,q,r,0_4,t,u,0_5,w,0_6,y,z,0_7,bb,cc,dd,0_8,ff,gg,16_2,ii,CIZMAS L,kk
PHEB-605-600,,22,,10,,2,,0,,0,,,34,,3.588,,0,,,,False,,,False,,,False,,0,,,34,,XU X,,
,,0.6471,,0.2941,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-605-700,,13,,8,,0,,0,,0,,,21,,3.619,,0,,,,False,,,False,,,False,,0,,,21,,ZANWAR P,,
,,0.619,,0.381,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,35,,18,,2,,0,,0,,,55,,3.6,,0,,,,False,,,False,,,False,,0,,,55,,,,
,,0.6364,,0.3273,,0.0364,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-611-600,,1,,3,,3,,0,,0,,,7,,2.714,,0,,,,False,,,False,,,False,,0,,,7,,TAYLOR N,,
,,0.1429,,0.4286,,0.4286,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,3,,3,,0,,0,,,7,,2.714,,0,,,,False,,,False,,,False,,0,,,7,,,,
,,0.1429,,0.4286,,0.4286,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-612-601,,30,,3,,0,,0,,0,,,33,,3.909,,0,,,,False,,,False,,,False,,0,,,33,,ROH T,,
,,0.9091,,0.0909,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-612-700,,16,,4,,0,,0,,0,,,20,,3.8,,0,,,,False,,,False,,,False,,0,,,20,,ZANWAR P,,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,46,,7,,0,,0,,0,,,53,,3.867,,0,,,,False,,,False,,,False,,0,,,53,,,,
,,0.8679,,0.1321,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
