SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
PHEO-630-600,,18,,8,,0,,0,,,0,,26,,,,3.692,,0,,,0,,,0,,,False,,,0,,26,,,JOHNSON N,
,,0.6923,,0.3077,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,8,,0,,0,,,0,,26,,,,3.692,,0,,,0,,,0,,,False,,,0,,26,,,,
,,0.6923,,0.3077,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-676-699,,7,,1,,0,,0,,,0,,8,,,,3.875,,0,,,0,,,0,,,False,,,0,,8,,,SHARMA V,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,1,,0,,0,,,0,,8,,,,3.875,,0,,,0,,,0,,,False,,,0,,8,,,,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
PHEO-678-600,,15,,2,,0,,0,,,0,,,17,,,3.882,,0,,,,False,,,False,,,0,,0,,17,,BENDEN M,,
,,0.8824,,0.1176,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,2,,0,,0,,,0,,,17,,,3.882,,0,,,,False,,,False,,,0,,0,,17,,,,
,,0.8824,,0.1176,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-682-600,,9,,3,,0,,0,,,0,,,12,,,3.75,,0,,,,False,,,False,,,0,,0,,12,,BENDEN M,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,3,,0,,0,,,0,,,12,,,3.75,,0,,,,False,,,False,,,0,,0,,12,,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-689-601,,6,,2,,0,,0,,,0,,,8,,,3.75,,1,,,,False,,,False,,,0,,0,,9,,PERES C,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,2,,0,,0,,,0,,,8,,,3.75,,1,,,,False,,,False,,,0,,0,,9,,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,98,,23,,1,,0,,,0,,,122,,,3.795,,2,,,,False,,,False,,,1,,0,,125,,,,
,,0.8033,,0.1885,,0.0082,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
PHEB-602-600,,13,,12,,11,,0,,,0,,36,,,,3.055,,0,,,0,,,0,,,True,,,0,,37,,,HAN G,
,,0.3611,,0.3333,,0.3056,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-602-699,,0,,4,,3,,0,,,0,,7,,,,2.571,,0,,,0,,,0,,,False,,,0,,7,,,HAN G,
,,0.0,,0.5714,,0.4286,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-602-700,,3,,7,,7,,0,,,1,,18,,,,2.611,,0,,,0,,,0,,,False,,,0,,18,,,HAN G,
,,0.1667,,0.3889,,0.3889,,0.0,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,23,,21,,0,,,1,,61,,,,2.868,,0,,,0,,,0,,,True,,,0,,62,,,,
,,0.2623,,0.377,,0.3443,,0.0,,,0.0164,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-609-600,,24,,9,,0,,0,,,0,,33,,,,3.727,,0,,,0,,,0,,,False,,,0,,33,,,ZHAO H,
,,0.7273,,0.2727,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-609-700,,12,,10,,0,,1,,,0,,23,,,,3.434,,0,,,0,,,0,,,True,,,0,,24,,,ZHENG Q,
,,0.5217,,0.4348,,0.0,,0.0435,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,36,,19,,0,,1,,,0,,56,,,,3.607,,0,,,0,,,0,,,True,,,0,,57,,,,
,,0.6429,,0.3393,,0.0,,0.0179,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-610-600,,20,,16,,0,,0,,,0,,36,,,,3.555,,1,,,0,,,0,,,False,,,0,,37,,,REGAN A,
,,0.5556,,0.4444,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-610-700,,7,,11,,3,,0,,,2,,23,,,,2.913,,0,,,0,,,0,,,False,,,0,,23,,,REGAN A,
,,0.3043,,0.4783,,0.1304,,0.0,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,27,,3,,0,,,2,,59,,,,3.305,,1,,,0,,,0,,,False,,,0,,60,,,,
,,0.4576,,0.4576,,0.0508,,0.0,,,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-615-600,,8,,0,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,CLENDENIN M,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
