,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
,1.54% 12.31%,9.23% 13.85% 21.54% 16.92% 16.92%,,,,,6.15%,1.54%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7091-601,2,9,5,4,15,5,8,6,2,0,0,0,0,56,3,0,0,0,56
FORTNEY S,3.57% 16.07%,8.93%,7.14% 26.79%,,8.93% 14.29% 10.71%,,,3.57%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7091-602,2,6,11,5,17,7,8,5,2,1,0,0,0,64,3,0,0,0,64
FORTNEY S,3.13%,9.38% 17.19%,7.81% 26.56% 10.94% 12.50%,,,,7.81%,3.13%,1.56%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,4,15,16,9,32,12,16,11,4,1,0,0,0,120,3,0,0,0,120
,3.33% 12.50% 13.33%,,7.50% 26.67% 10.00% 13.33%,,,,9.17%,3.33%,0.83%,0.00%,0.00%,0.00%,,,,,,,
LAW-7101-601,2,2,1,2,1,0,0,0,0,0,0,0,0,8,3.697,0,0,0,8
MAROUF F,25.00% 25.00% 12.50% 25.00% 12.50%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,1,2,1,0,0,0,0,0,0,0,0,8,3.697,0,0,0,8
,25.00% 25.00% 12.50% 25.00% 12.50%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7108-601,0,1,2,7,8,2,0,0,0,0,0,0,0,20,3.199,0,0,0,20
JOHNSON J,0.00%,5.00% 10.00% 35.00% 40.00% 10.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,2,7,8,2,0,0,0,0,0,0,0,20,3.199,0,0,0,20
,0.00%,5.00% 10.00% 35.00% 40.00% 10.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7113-601,2,0,9,0,7,4,3,1,1,1,0,0,0,28,3.025,0,11,0,28
PHAM L,7.14%,0.00% 32.14%,0.00% 25.00% 14.29% 10.71%,,,,3.57%,3.57%,3.57%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,0,9,0,7,4,3,1,1,1,0,0,0,28,3.025,0,11,0,28
,7.14%,0.00% 32.14%,0.00% 25.00% 14.29% 10.71%,,,,3.57%,3.57%,3.57%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7116-601,2,2,1,3,0,0,0,0,0,0,0,0,0,8,3.685,0,0,0,8
PROBASCO R25.00% 25.00% 12.50% 37.50%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,1,3,0,0,0,0,0,0,0,0,0,8,3.685,0,0,0,8
,25.00% 25.00% 12.50% 37.50%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7124-601,1,4,5,13,18,11,4,3,1,0,1,0,0,61,3,0,4,0,61
BARNES W,1.64%,6.56%,8.20% 21.31% 29.51% 18.03%,,,6.56%,4.92%,1.64%,0.00%,1.64%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,4,5,13,18,11,4,3,1,0,1,0,0,61,3,0,4,0,61
,1.64%,6.56%,8.20% 21.31% 29.51% 18.03%,,,6.56%,4.92%,1.64%,0.00%,1.64%,0.00%,0.00%,,,,,,,
LAW-7199-601,0,0,5,11,1,0,0,1,0,0,0,0,0,18,3.332,0,0,0,18
GABRIEL E,0.00%,0.00% 27.78% 61.11%,,5.56%,0.00%,0.00%,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,5,11,1,0,0,1,0,0,0,0,0,18,3.332,0,0,0,18
,0.00%,0.00% 27.78% 61.11%,,5.56%,0.00%,0.00%,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7201-601,0,0,3,9,3,0,0,0,0,0,0,0,0,15,3.332,0,0,0,15
GARCIA SANCHEZ G,0.00%,0.00% 20.00% 60.00% 20.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,3,9,3,0,0,0,0,0,0,0,0,15,3.332,0,0,0,15
,0.00%,0.00% 20.00% 60.00% 20.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7203-601,0,3,1,5,8,7,3,1,0,0,0,0,0,28,3,0,0,0,28
YU P,0.00% 10.71%,,3.57% 17.86% 28.57% 25.00% 10.71%,,,,3.57%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,3,1,5,8,7,3,1,0,0,0,0,0,28,3,0,0,0,28
,0.00% 10.71%,,3.57% 17.86% 28.57% 25.00% 10.71%,,,,3.57%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7204-601,0,2,2,2,2,2,0,0,0,0,0,0,0,10,3.334,0,0,0,10
ALKON C,0.00% 20.00% 20.00% 20.00% 20.00% 20.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,2,2,2,0,0,0,0,0,0,0,10,3.334,0,0,0,10
,0.00% 20.00% 20.00% 20.00% 20.00% 20.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
