,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUAD-679-351,26,0,0,0,2,28,3.714,0,0,0,0,0,28,HALE T
,92.86%,0.00%,0.00%,0.00%,7.14%,,,,,,,,,
BUAD-679-700,24,0,0,0,0,24,4,0,0,0,0,0,24,HALE T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,56,0,0,0,2,58,3.875,0,0,0,0,0,58,
,96.55%,0.00%,0.00%,0.00%,3.45%,,,,,,,,,
BUAD-689-399,18,10,1,1,0,30,3.5,0,0,0,0,0,30,SHARMA A
,60.00%,33.33%,3.33%,3.33%,0.00%,,,,,,,,,
BUAD-689-700,11,12,1,0,0,24,3.416,0,0,0,0,0,24,SHARMA A
,45.83%,50.00%,4.17%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,29,22,2,1,0,54,3.462,0,0,0,0,0,54,
,53.70%,40.74%,3.70%,1.85%,0.00%,,,,,,,,,
BUAD-700-300,50,12,0,0,0,62,3.806,0,0,0,0,0,62,FLINT G
,80.65%,19.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,50,12,0,0,0,62,3.806,0,0,0,0,0,62,
,80.65%,19.35%,0.00%,0.00%,0.00%,,,,,,,,,
BUAD-701-300,49,10,1,0,0,60,3.8,1,0,0,0,1,62,BLASOR T
,81.67%,16.67%,1.67%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF BUSINESS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,49,10,1,0,0,60,3.8,1,0,0,0,1,62,
,81.67%,16.67%,1.67%,0.00%,0.00%,,,,,,,,,
BUSN-403-900,9,4,1,0,0,14,3.571,0,0,0,0,1,15,GUILLORY J
,64.29%,28.57%,7.14%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,4,1,0,0,14,3.571,0,0,0,0,1,15,
,64.29%,28.57%,7.14%,0.00%,0.00%,,,,,,,,,
IBUS-450-199,3,2,0,0,0,5,3.6,0,0,0,0,0,5,PANINA D
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,2,0,0,0,5,3.6,0,0,0,0,0,5,
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
IBUS-456-199,6,6,0,0,0,12,3.5,0,0,0,0,0,12,GASPAR J
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,6,0,0,0,12,3.5,0,0,0,0,0,12,
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
IBUS-692-153,10,1,0,0,0,11,3.909,0,0,0,0,0,11,GASPAR J
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,1,0,0,0,11,3.909,0,0,0,0,0,11,
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF BUSINESS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,262,59,4,1,2,328,3.697,1,0,0,0,2,331,
,79.88%,17.99%,1.22%,0.30%,0.61%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,FINANCE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
FINC-341-100,165,110,12,1,0,288,3.524,0,0,0,1,1,290,OKOROMADU A
,57.29%,38.19%,4.17%,0.35%,0.00%,,,,,,,,,
COURSE TOTAL:,165,110,12,1,0,288,3.524,0,0,0,1,1,290,
,57.29%,38.19%,4.17%,0.35%,0.00%,,,,,,,,,
FINC-342-700,9,0,0,0,0,9,4,0,0,0,0,0,9,DRIVER J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-351-100,2,12,2,1,1,18,2.722,1,0,0,1,0,20,DYE R
,11.11%,66.67%,11.11%,5.56%,5.56%,,,,,,,,,
COURSE TOTAL:,2,12,2,1,1,18,2.722,1,0,0,1,0,20,
,11.11%,66.67%,11.11%,5.56%,5.56%,,,,,,,,,
FINC-361-100,10,8,6,1,0,25,3.08,0,0,0,1,0,26,MOHSENI M
,40.00%,32.00%,24.00%,4.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,8,6,1,0,25,3.08,0,0,0,1,0,26,
,40.00%,32.00%,24.00%,4.00%,0.00%,,,,,,,,,
FINC-371-100,11,11,1,0,0,23,3.434,0,0,0,0,0,23,PETERSON J
,47.83%,47.83%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,11,1,0,0,23,3.434,0,0,0,0,0,23,
,47.83%,47.83%,4.35%,0.00%,0.00%,,,,,,,,,
FINC-381-101,8,3,0,0,0,11,3.727,0,0,0,0,0,11,ERTURK B
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,3,0,0,0,11,3.727,0,0,0,0,0,11,
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,FINANCE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
FINC-409-199,255,95,17,5,2,374,3.593,0,0,0,2,0,376,DRIVER J
,68.18%,25.40%,4.55%,1.34%,0.53%,,,,,,,,,
COURSE TOTAL:,255,95,17,5,2,374,3.593,0,0,0,2,0,376,
,68.18%,25.40%,4.55%,1.34%,0.53%,,,,,,,,,
FINC-441-199,8,2,0,0,0,10,3.8,0,0,0,1,0,11,HERCOT P
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,2,0,0,0,10,3.8,0,0,0,1,0,11,
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-445-100,22,2,0,0,0,24,3.916,0,0,0,0,0,24,OKOROMADU A
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,2,0,0,0,24,3.916,0,0,0,0,0,24,
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-475-199,7,4,2,0,0,13,3.384,0,0,0,0,0,13,PETERSON J
,53.85%,30.77%,15.38%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,4,2,0,0,13,3.384,0,0,0,0,0,13,
,53.85%,30.77%,15.38%,0.00%,0.00%,,,,,,,,,
FINC-485-102,14,0,0,0,0,14,0,0,0,0,0,0,14,HERCOT P
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,Error,0,0,0,0,0,14,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-629-101,17,35,11,0,0,63,3.095,0,0,0,3,0,66,ERTURK B
,26.98%,55.56%,17.46%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,35,11,0,0,63,3.095,0,0,0,3,0,66,
,26.98%,55.56%,17.46%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,FINANCE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
FINC-632-101,41,23,0,1,0,65,3.6,0,0,0,2,0,67,DYE R
,63.08%,35.38%,0.00%,1.54%,0.00%,,,,,,,,,
COURSE TOTAL:,41,23,0,1,0,65,3.6,0,0,0,2,0,67,
,63.08%,35.38%,0.00%,1.54%,0.00%,,,,,,,,,
FINC-642-101,65,0,0,0,0,65,4,0,0,0,0,0,65,MARTINDALE L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,65,0,0,0,0,65,4,0,0,0,0,0,65,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-651-661,36,13,4,0,0,53,3.603,0,0,0,0,0,53,MAHAJAN A
,67.92%,24.53%,7.55%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,36,13,4,0,0,53,3.603,0,0,0,0,0,53,
,67.92%,24.53%,7.55%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,670,318,55,9,3,1055,3.55,1,0,0,11,1,1068,
,63.51%,30.14%,5.21%,0.85%,0.28%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,INFORMATION & OPERATIONS MGMT,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ISTM-209-199,203,125,51,22,14,415,3.159,0,0,0,9,0,424,CURTSINGER W
,48.92%,30.12%,12.29%,5.30%,3.37%,,,,,,,,,
COURSE TOTAL:,203,125,51,22,14,415,3.159,0,0,0,9,0,424,
,48.92%,30.12%,12.29%,5.30%,3.37%,,,,,,,,,
ISTM-210-100,30,10,2,1,1,44,3.522,0,0,0,0,0,44,JAMIESON T
,68.18%,22.73%,4.55%,2.27%,2.27%,,,,,,,,,
ISTM-210-200,20,4,4,2,1,31,3.29,0,0,0,4,0,35,PHINNEY T
,64.52%,12.90%,12.90%,6.45%,3.23%,,,,,,,,,
COURSE TOTAL:,50,14,6,3,2,75,3.426,0,0,0,4,0,79,
,66.67%,18.67%,8.00%,4.00%,2.67%,,,,,,,,,
ISTM-250-100,9,7,3,5,2,26,2.615,0,0,0,2,0,28,BOONE T
,34.62%,26.92%,11.54%,19.23%,7.69%,,,,,,,,,
COURSE TOTAL:,9,7,3,5,2,26,2.615,0,0,0,2,0,28,
,34.62%,26.92%,11.54%,19.23%,7.69%,,,,,,,,,
ISTM-455-299,5,0,0,0,0,5,4,0,0,0,0,0,5,WHITTEN G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4,0,0,0,0,0,5,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ISTM-489-199,10,1,0,0,0,11,3.909,0,0,0,0,0,11,SCIALDONE M
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
