,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,ACADEMIC ENHANCEMENT-GV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
ENGL-210-497,4,7,5,1,1,18,2.666,0,0,0,2,0,20,GARZA-HORNE J
,22.22%,38.89%,27.78%,5.56%,5.56%,,,,,,,,,
ENGL-210-498,3,12,1,0,2,18,2.777,0,0,0,1,0,19,GARZA-HORNE J
,16.67%,66.67%,5.56%,0.00%,11.11%,,,,,,,,,
ENGL-210-499,3,11,2,3,1,20,2.6,0,0,0,0,0,20,GARZA-HORNE J
,15.00%,55.00%,10.00%,15.00%,5.00%,,,,,,,,,
COURSE TOTAL:,112,52,17,7,8,196,3.29,0,0,0,3,0,199,
,57.14%,26.53%,8.67%,3.57%,4.08%,,,,,,,,,
ENGL-212-401,7,15,2,0,1,25,3.08,0,0,0,0,0,25,CURLEY S
,28.00%,60.00%,8.00%,0.00%,4.00%,,,,,,,,,
COURSE TOTAL:,7,15,2,0,1,25,3.08,0,0,0,0,0,25,
,28.00%,60.00%,8.00%,0.00%,4.00%,,,,,,,,,
ENGL-251-401,6,13,5,0,0,24,3.041,0,0,0,1,0,25,CURLEY S
,25.00%,54.17%,20.83%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,13,5,0,0,24,3.041,0,0,0,1,0,25,
,25.00%,54.17%,20.83%,0.00%,0.00%,,,,,,,,,
ENGL-338-401,2,11,2,0,0,15,3,1,0,0,1,0,17,TRABER D
,13.33%,73.33%,13.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,11,2,0,0,15,3,1,0,0,1,0,17,
,13.33%,73.33%,13.33%,0.00%,0.00%,,,,,,,,,
HIST-105-401,48,28,4,0,1,81,3.506,0,0,0,0,0,81,LAWHON D
,59.26%,34.57%,4.94%,0.00%,1.23%,,,,,,,,,
HIST-105-402,48,29,5,0,0,82,3.524,0,0,0,0,0,82,LAWHON D
,58.54%,35.37%,6.10%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
HIST-105-403,7,18,15,7,11,58,2.051,0,0,0,6,0,64,WILLETT D
,12.07%,31.03%,25.86%,12.07%,18.97%,,,,,,,,,
COURSE TOTAL:,103,75,24,7,12,221,3.131,0,0,0,6,0,227,
,46.61%,33.94%,10.86%,3.17%,5.43%,,,,,,,,,
HIST-106-401,5,17,26,11,7,66,2.03,0,0,0,4,0,70,BLOMSTEDT L
,7.58%,25.76%,39.39%,16.67%,10.61%,,,,,,,,,
HIST-106-402,11,45,6,1,2,65,2.953,2,0,0,2,0,69,RYAN J
,16.92%,69.23%,9.23%,1.54%,3.08%,,,,,,,,,
COURSE TOTAL:,16,62,32,12,9,131,2.488,2,0,0,6,0,139,
,12.21%,47.33%,24.43%,9.16%,6.87%,,,,,,,,,
HIST-242-401,7,33,46,18,2,106,2.235,0,0,0,2,0,108,WILLETT D
,6.60%,31.13%,43.40%,16.98%,1.89%,,,,,,,,,
COURSE TOTAL:,7,33,46,18,2,106,2.235,0,0,0,2,0,108,
,6.60%,31.13%,43.40%,16.98%,1.89%,,,,,,,,,
HIST-373-401,6,9,2,0,0,17,3.235,0,0,0,0,0,17,RYAN J
,35.29%,52.94%,11.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,9,2,0,0,17,3.235,0,0,0,0,0,17,
,35.29%,52.94%,11.76%,0.00%,0.00%,,,,,,,,,
KINE-120-401,20,0,0,0,0,20,4,0,0,0,0,0,20,DIMARCO F
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-120-402,13,2,5,0,0,20,3.4,0,0,0,0,0,20,SLATTON K
,65.00%,10.00%,25.00%,0.00%,0.00%,,,,,,,,,
KINE-120-403,14,3,0,0,2,19,3.421,0,0,0,2,0,21,SLATTON K
,73.68%,15.79%,0.00%,0.00%,10.53%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
KINE-120-404,18,2,0,1,2,23,3.434,0,0,0,0,0,23,SLATTON K
,78.26%,8.70%,0.00%,4.35%,8.70%,,,,,,,,,
KINE-120-405,20,0,0,0,0,20,4,0,0,0,0,0,20,DIMARCO F
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-120-407,15,6,0,0,1,22,3.545,0,0,0,0,0,22,SLATTON K
,68.18%,27.27%,0.00%,0.00%,4.55%,,,,,,,,,
KINE-120-408,19,0,0,0,0,19,4,0,0,0,0,0,19,DIMARCO F
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,119,13,5,1,5,143,3.678,0,0,0,2,0,145,
,83.22%,9.09%,3.50%,0.70%,3.50%,,,,,,,,,
KINE-199-401,7,1,0,0,0,8,3.875,0,3,0,0,0,11,SLATTON K
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-199-415,12,1,0,0,0,13,3.923,0,4,0,1,0,18,SLATTON K
,92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-199-430,21,0,0,0,0,21,4,0,5,0,0,0,26,MACEO D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-199-445,6,0,0,0,0,6,4,0,9,0,0,0,15,WOOD G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-199-446,4,1,0,0,0,5,3.8,0,6,0,0,0,11,COLEMAN C
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-199-470,9,0,0,0,0,9,4,0,7,0,0,0,16,BOSQUEZ J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
KINE-199-488,10,0,0,0,1,11,3.333,0,1,1,3,0,16,HUFTON A
,90.91%,0.00%,0.00%,0.00%,9.09%,,,,,,,,,
KINE-199-510,9,1,1,0,0,11,3.727,0,4,0,0,0,15,SLATTON K
,81.82%,9.09%,9.09%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
