SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn
COURSE TOTAL:,,25,,,18,,,4,,,0,,0,,,47,,3.446,,,False,,,False,,False,,0,,,False,,,47,,,,,
,,0.5319,,,0.383,,,0.0851,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-901,,13,,,6,,,1,,,1,,0,,,21,,3.476,,,False,,,False,,False,,0,,,False,,,21,,,,,
,,0.619,,,0.2857,,,0.0476,,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-902,,8,,,9,,,3,,,0,,0,,,20,,3.25,,,False,,,False,,False,,0,,,False,,,20,,,,,
,,0.4,,,0.45,,,0.15,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,,15,,,4,,,1,,0,,,41,,3.365,,,False,,,False,,False,,0,,,False,,,41,,,,,
,,0.5122,,,0.3659,,,0.0976,,,0.0244,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-366-501,,7,,,3,,,0,,,0,,0,,,10,,3.7,,,False,,,False,,False,,1,,,False,,,11,,,,,
,,0.7,,,0.3,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
WALTHER D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCGRATH P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNSFORD D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNSFORD D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDWINE T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDWINE T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIM B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,3,,,0,,,0,,0,,,10,,3.7,,,False,,,False,,False,,1,,,False,,,11,,,,,
,,0.7,,,0.3,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-501,,8,,,2,,,1,,,0,,0,,,11,,3.636,,,False,,,False,,False,,0,,,False,,,11,,,,,
,,0.7273,,,0.1818,,,0.0909,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-405-502,,10,,,0,,,1,,,0,,0,,,11,,3.818,,,False,,,False,,False,,0,,,False,,,11,,,,,
,,0.9091,,,0.0,,,0.0909,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,2,,,2,,,0,,0,,,22,,3.727,,,False,,,False,,False,,0,,,False,,,22,,,,,
,,0.8182,,,0.0909,,,0.0909,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-406-500,,24,,,0,,,1,,,0,,0,,,25,,3.92,,,False,,,False,,False,,0,,,False,,,25,,,,,
,,0.96,,,0.0,,,0.04,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,,0,,,1,,,0,,0,,,25,,3.92,,,False,,,False,,False,,0,,,False,,,25,,,,,
,,0.96,,,0.0,,,0.04,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-411-500,,16,,,4,,,4,,,0,,0,,,24,,3.5,,,False,,,False,,False,,1,,,False,,,25,,,,,
,,0.6667,,,0.1667,,,0.1667,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,,4,,,4,,,0,,0,,,24,,3.5,,,False,,,False,,False,,1,,,False,,,25,,,,,
,,0.6667,,,0.1667,,,0.1667,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-413-500,,5,,,9,,,1,,,0,,0,,,15,,3.266,,,False,,,False,,False,,0,,,False,,,15,,,,,
,,0.3333,,,0.6,,,0.0667,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,9,,,1,,,0,,0,,,15,,3.266,,,False,,,False,,False,,0,,,False,,,15,,,,,
,,0.3333,,,0.6,,,0.0667,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-466-500,,7,,,1,,,0,,,0,,0,,,8,,3.875,,,False,,,False,,False,,0,,,False,,,8,,,,,
,,0.875,,,0.125,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,1,,,0,,,0,,0,,,8,,3.875,,,False,,,False,,False,,0,,,False,,,8,,,,,
,,0.875,,,0.125,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTHERFORD T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTHERFORD T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNSFORD D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIM B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGGETTE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIM B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
