SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
,0.4286,,,0.5714,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,8,,,0,,,0,,0,,,22,,3.636,,False,,,False,False,,,False,,,False,,22,,,
,0.6364,,,0.3636,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENGL-219-300,15,,,4,,,1,,,0,,0,,,20,,3.7,,False,,,False,False,,,False,,,False,,20,,,
,0.75,,,0.2,,,0.05,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,4,,,1,,,0,,0,,,20,,3.7,,False,,,False,False,,,False,,,False,,20,,,
,0.75,,,0.2,,,0.05,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
HIST-106-300,8,,,2,,,2,,,0,,1,,,13,,3.23,,False,,,False,False,,,False,,,False,,13,,,
,0.6154,,,0.1538,,,0.1538,,,0.0,,0.0769,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,2,,,2,,,0,,1,,,13,,3.23,,False,,,False,False,,,False,,,False,,13,,,
,0.6154,,,0.1538,,,0.1538,,,0.0,,0.0769,,,,,,,,,,,,,,,,,,,,,,
HIST-258-300,20,,,5,,,1,,,0,,0,,,26,,3.73,,False,,,False,False,,,False,,,False,,26,,,
,0.7692,,,0.1923,,,0.0385,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,,5,,,1,,,0,,0,,,26,,3.73,,False,,,False,False,,,False,,,False,,26,,,
,0.7692,,,0.1923,,,0.0385,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
POLS-207-300,9,,,8,,,1,,,0,,0,,,18,,3.444,,True,,,False,False,,,False,,,False,,19,,,
,0.5,,,0.4444,,,0.0556,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
HODGES A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUDD L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DE LOGT M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,8,,,1,,,0,,0,,,18,,3.444,,True,,,False,False,,,False,,,False,,,,,
,0.5,,,0.4444,,,0.0556,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
STLC-289-300,2,,,12,,,0,,,0,,0,,,14,,3.142,,False,,,False,False,,,False,,,False,,,,,
,0.1429,,,0.8571,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,2,,,12,,,0,,,0,,0,,,14,,3.142,,False,,,False,False,,,False,,,False,,,,,
,0.1429,,,0.8571,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,81,,,41,,,5,,,0,,1,,,128,,3.555,,True,,,False,False,,,False,,,False,,,,,
,0.6328,,,0.3203,,,0.0391,,,0.0,,0.0078,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 TELAFICI M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
