CHEN-204-500,6,c,7,e,f,1,h,0,j,0_2,l,m,14,o,3.357,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,14_2,ii,MARKATOS N,kk,ll,mm
CHEN-414-902,0,,10,,,0,,0,,0,,,10,,3.0,,,False,,,False,,False,,,False,,,,False,,,10,,SALAMA G,,,
,0.0,,1.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,16,,,0,,0,,0,,,22,,3.272,,,False,,,False,,False,,,False,,,,False,,,22,,,,,
,0.2727,,0.7273,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-424-500,6,,11,,,6,,0,,0,,,23,,3.0,,,True,,,False,,False,,,False,,,,True,,,25,,ABDALLA A,,,
,0.2609,,0.4783,,,0.2609,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,11,,,6,,0,,0,,,23,,3.0,,,True,,,False,,False,,,False,,,,True,,,25,,,,,
,0.2609,,0.4783,,,0.2609,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-425-500,4,,11,,,5,,1,,0,,,21,,2.857,,,True,,,False,,False,,,False,,,,False,,,22,,,,,
,0.1905,,0.5238,,,0.2381,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,11,,,5,,1,,0,,,21,,2.857,,,True,,,False,,False,,,False,,,,False,,,22,,,,,
,0.1905,,0.5238,,,0.2381,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-455-500,7,,14,,,1,,0,,0,,,22,,3.272,,,True,,,False,,False,,,False,,,,False,,,23,,,,,
,0.3182,,0.6364,,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,14,,,1,,0,,0,,,22,,3.272,,,True,,,False,,False,,,False,,,,False,,,23,,,,,
,0.3182,,0.6364,,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-464-500,8,,9,,,4,,0,,0,,,21,,3.19,,,True,,,False,,False,,,False,,,,False,,,22,,,,,
,0.381,,0.4286,,,0.1905,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,9,,,4,,0,,0,,,21,,3.19,,,True,,,False,,False,,,False,,,,False,,,22,,,,,
,0.381,,0.4286,,,0.1905,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-481-500,19,,2,,,1,,0,,0,,,22,,3.818,,,True,,,False,,False,,,False,,,,False,,,23,,,,,
,0.8636,,0.0909,,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,19,,2,,,1,,0,,0,,,22,,3.818,,,True,,,False,,False,,,False,,,,False,,,23,,,,,
,0.8636,,0.0909,,,0.0455,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-601-600,13,,2,,,0,,0,,0,,,15,,3.866,,,False,,,False,,False,,,False,,,,False,,,15,,,,,
,0.8667,,0.1333,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,2,,,0,,0,,0,,,15,,3.866,,,False,,,False,,False,,,False,,,,False,,,15,,,,,
,0.8667,,0.1333,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-604-600,5,,9,,,1,,0,,0,,,15,,3.266,,,False,,,False,,False,,,False,,,,False,,,15,,,,,
,0.3333,,0.6,,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINKE P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VECHOT L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELBASHIR N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAKOSIMOS K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VECHOT L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOUNOU M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,,
COURSE TOTAL:,5,,,9,,1,,0,,0,,,15,,3.266,,0,,,,False,,,False,,,False,,0,,,15,,,,,,
,0.3333,,,0.6,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-629-600,4,,,7,,1,,0,,0,,,12,,3.25,,0,,,,False,,,False,,,True,,0,,,13,,ECONOMOU I,,,,
,0.3333,,,0.5833,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
