SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn
ANTH-205-510,,8,,10,,6,,1,,,0,,,25,,,3.0,,0,,,,False,,,False,3,,,,,False,,28,,,CANTERBURY J,,
,,0.32,,0.4,,0.24,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-599,,21,,50,,52,,25,,,7,,,155,,,2.341,,3,,,,True,,,False,26,,,,,False,,185,,,BRYANT V,,
,,0.1355,,0.3226,,0.3355,,0.1613,,,0.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,448,,381,,141,,37,,,15,,,1022,,,3.183,,4,,,,True,,,False,48,,,,,False,,1075,,,,,
,,0.4384,,0.3728,,0.138,,0.0362,,,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,20,,59,,31,,8,,,5,,,123,,,2.658,,0,,,,False,,,False,1,,,,,False,,124,,,WINKING J,,
,,0.1626,,0.4797,,0.252,,0.065,,,0.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,19,,7,,4,,2,,,0,,,32,,,3.343,,0,,,,False,,,False,0,,,,,False,,32,,,KENNEDY C,,
,,0.5938,,0.2188,,0.125,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,39,,66,,35,,10,,,5,,,155,,,2.8,,0,,,,False,,,False,1,,,,,False,,156,,,,,
,,0.2516,,0.4258,,0.2258,,0.0645,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-500,,15,,30,,29,,9,,,2,,,85,,,2.552,,0,,,,False,,,False,7,,,,,False,,92,,,DE RUITER D,,
,,0.1765,,0.3529,,0.3412,,0.1059,,,0.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,30,,29,,9,,,2,,,85,,,2.552,,0,,,,False,,,False,7,,,,,False,,92,,,,,
,,0.1765,,0.3529,,0.3412,,0.1059,,,0.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,14,,1,,2,,0,,,0,,,17,,,3.705,,0,,,,False,,,False,0,,,,,False,,17,,,HODGES S,,
,,0.8235,,0.0588,,0.1176,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,
ANTH-226-502,,16,,2,,0,,1,,,0,,,19,,,3.736,,0,,,,False,,,False,,,False,,0,,,19,,ACHORN A,,,
,,0.8421,,0.1053,,0.0,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,3,,2,,1,,,0,,,36,,,3.722,,0,,,,False,,,False,,,False,,0,,,36,,,,,
,,0.8333,,0.0833,,0.0556,,0.0278,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-229-500,,4,,8,,4,,1,,,0,,,17,,,2.882,,0,,,,False,,,False,,,True,,0,,,18,,GREEN T,,,
,,0.2353,,0.4706,,0.2353,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,8,,4,,1,,,0,,,17,,,2.882,,0,,,,False,,,False,,,True,,0,,,18,,,,,
,,0.2353,,0.4706,,0.2353,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-901,,18,,5,,0,,0,,,0,,,23,,,3.782,,0,,,,False,,,False,,,True,,0,,,24,,LAPORTE C,,,
,,0.7826,,0.2174,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-902,,16,,8,,0,,0,,,0,,,24,,,3.666,,0,,,,False,,,False,,,False,,0,,,24,,LAPORTE C,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-903,,12,,11,,0,,1,,,0,,,24,,,3.416,,0,,,,False,,,False,,,False,,0,,,24,,LAPORTE C,,,
,,0.5,,0.4583,,0.0,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-904,,12,,9,,2,,1,,,0,,,24,,,3.333,,0,,,,False,,,False,,,False,,0,,,24,,LAPORTE C,,,
,,0.5,,0.375,,0.0833,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-905,,14,,7,,2,,0,,,0,,,23,,,3.521,,0,,,,False,,,False,,,True,,0,,,24,,LAPORTE C,,,
,,0.6087,,0.3043,,0.087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-906,,11,,7,,2,,1,,,1,,,22,,,3.181,,0,,,,False,,,False,,,True,,0,,,23,,LAPORTE C,,,
,,0.5,,0.3182,,0.0909,,0.0455,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-907,,11,,10,,1,,1,,,0,,,23,,,3.347,,0,,,,False,,,False,,,True,,0,,,24,,LAPORTE C,,,
,,0.4783,,0.4348,,0.0435,,0.0435,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-908,,12,,7,,2,,0,,,0,,,21,,,3.318,,0,,,,False,,,False,,,True,,0,,,22,,LAPORTE C,,,
,,0.5714,,0.3333,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-909,,19,,3,,2,,0,,,0,,,24,,,3.708,,0,,,,False,,,False,,,False,,0,,,24,,WINKING J,,,
,,0.7917,,0.125,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
