SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo
ENGL-104-406,,3,,,5,,,3,,,0,,,2,,13,,2.538,,,False,,,False,,False,,0,,,False,,13,,GARZA-HORNE,,J,,,
,,0.2308,,,0.3846,,,0.2308,,,0.0,,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-498,,20,,,0,,,1,,,0,,,0,,21,,3.904,,,False,,,False,,False,,0,,,False,,21,,PRESSWOOD P,,,,,
,,0.9524,,,0.0,,,0.0476,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-499,,14,,,4,,,1,,,1,,,0,,20,,3.55,,,False,,,False,,False,,0,,,False,,20,,PRESSWOOD P,,,,,
,,0.7,,,0.2,,,0.05,,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,74,,,32,,,22,,,12,,,5,,145,,3.089,,,False,,,False,,False,,8,,,False,,153,,,,,,,
,,0.5103,,,0.2207,,,0.1517,,,0.0828,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-203-401,,2,,,5,,,3,,,0,,,0,,10,,2.9,,,False,,,False,,False,,0,,,False,,10,,TRABER D,,,,,
,,0.2,,,0.5,,,0.3,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-203-402,,2,,,8,,,2,,,0,,,0,,12,,3.0,,,False,,,False,,False,,0,,,False,,12,,ECHOLS K,,,,,
,,0.1667,,,0.6667,,,0.1667,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,13,,,5,,,0,,,0,,22,,2.954,,,False,,,False,,False,,0,,,False,,22,,,,,,,
,,0.1818,,,0.5909,,,0.2273,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
