,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,2,5,7,4,9,2,10,3,2,0,0,0,0,44,3,0,0,0,44
,4.55% 11.36% 15.91%,,9.09% 20.45%,,4.55% 22.73%,,6.82%,4.55%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7104-601,1,3,0,1,13,2,5,1,0,0,0,0,0,26,2.974,0,3,0,29
HARRINGTON M,3.85% 11.54%,,0.00%,3.85% 50.00%,7.69% 19.23%,,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,0,1,13,2,5,1,0,0,0,0,0,26,2.974,0,3,0,29
,3.85% 11.54%,,0.00%,3.85% 50.00%,7.69% 19.23%,,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7108-601,0,1,1,3,0,1,0,0,0,0,0,0,0,6,3.388,0,2,0,8
JOHNSON J,0.00% 16.67% 16.67% 50.00%,,,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,1,3,0,1,0,0,0,0,0,0,0,6,3.388,0,2,0,8
,0.00% 16.67% 16.67% 50.00%,,,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7113-601,1,3,2,1,2,1,0,0,0,0,0,0,0,10,3.535,0,5,0,15
PHAM L,10.00% 30.00% 20.00% 10.00% 20.00% 10.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,2,1,2,1,0,0,0,0,0,0,0,10,3.535,0,5,0,15
,10.00% 30.00% 20.00% 10.00% 20.00% 10.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7145-601,0,1,2,1,1,0,1,0,0,0,0,0,0,6,3.333,0,0,0,6
BARNES W,0.00% 16.67% 33.33% 16.67% 16.67%,,,,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,2,1,1,0,1,0,0,0,0,0,0,6,3.333,0,0,0,6
,0.00% 16.67% 33.33% 16.67% 16.67%,,,,0.00% 16.67%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7174-601,0,2,2,3,1,1,1,0,0,0,0,0,0,10,3.333,0,1,0,11
HELGE T,0.00% 20.00% 20.00% 30.00% 10.00% 10.00% 10.00%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,3,1,1,1,0,0,0,0,0,0,10,3.333,0,1,0,11
,0.00% 20.00% 20.00% 30.00% 10.00% 10.00% 10.00%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7222S-601,1,2,2,4,1,8,1,3,0,0,0,0,0,22,2.97,0,0,0,22
WASHINGTON K,4.55%,9.09%,9.09% 18.18%,4.55% 36.36%,,4.55% 13.64%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,1,2,2,4,1,8,1,3,0,0,0,0,0,22,2.97,0,0,0,22
,4.55%,9.09%,9.09% 18.18%,4.55% 36.36%,,4.55% 13.64%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7223-601,0,2,2,4,3,2,0,0,0,0,0,0,0,13,3.307,0,1,0,14
HOLLAND H,0.00% 15.38% 15.38% 30.77% 23.08% 15.38%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,4,3,2,0,0,0,0,0,0,0,13,3.307,0,1,0,14
,0.00% 15.38% 15.38% 30.77% 23.08% 15.38%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7260-601,0,2,4,1,1,1,1,0,0,0,0,0,0,10,3.401,0,1,0,11
GREEN M,0.00% 20.00% 40.00% 10.00% 10.00% 10.00% 10.00%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,4,1,1,1,1,0,0,0,0,0,0,10,3.401,0,1,0,11
,0.00% 20.00% 40.00% 10.00% 10.00% 10.00% 10.00%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7301-601,0,5,3,6,17,8,6,0,0,0,0,0,1,46,2.985,0,2,0,48
SPURLOCK J,0.00% 10.87%,6.52% 13.04% 36.96% 17.39% 13.04%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,2.17%,,,,,,,
COURSE TOTAL:,0,5,3,6,17,8,6,0,0,0,0,0,1,46,2.985,0,2,0,48
,0.00% 10.87%,6.52% 13.04% 36.96% 17.39% 13.04%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,2.17%,,,,,,,
LAW-7316-601,1,3,2,2,2,2,1,2,1,0,0,0,0,16,3.084,0,10,0,26
RAMBO L,6.25% 18.75% 12.50% 12.50% 12.50% 12.50%,,,,,6.25% 12.50%,,6.25%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,2,2,2,2,1,2,1,0,0,0,0,16,3.084,0,10,0,26
,6.25% 18.75% 12.50% 12.50% 12.50% 12.50%,,,,,6.25% 12.50%,,6.25%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7318-601,1,1,3,5,3,0,0,1,0,0,0,0,0,14,3.333,0,0,0,14
HARRINGTON M,7.14%,7.14% 21.43% 35.71% 21.43%,,,0.00%,0.00%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,1,3,5,3,0,0,1,0,0,0,0,0,14,3.333,0,0,0,14
,7.14%,7.14% 21.43% 35.71% 21.43%,,,0.00%,0.00%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7319-601,1,1,1,1,0,1,0,0,0,0,0,0,0,5,3.536,0,3,0,8
BYRNES W,20.00% 20.00% 20.00% 20.00%,,,0.00% 20.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,1,1,1,1,0,1,0,0,0,0,0,0,0,5,3.536,0,3,0,8
,20.00% 20.00% 20.00% 20.00%,,,0.00% 20.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7332-601,1,2,4,0,2,5,2,0,1,0,0,0,0,17,3.08,0,5,0,22
PHAM L,5.88% 11.76% 23.53%,,0.00% 11.76% 29.41% 11.76%,,,,0.00%,5.88%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,4,0,2,5,2,0,1,0,0,0,0,17,3.08,0,5,0,22
,5.88% 11.76% 23.53%,,0.00% 11.76% 29.41% 11.76%,,,,0.00%,5.88%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7339-601,2,1,2,3,2,2,1,2,1,0,0,0,0,16,3.043,0,3,0,19
ECKSTEIN G12.50%,,6.25% 12.50% 18.75% 12.50% 12.50%,,,,6.25% 12.50%,,6.25%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,1,2,3,2,2,1,2,1,0,0,0,0,16,3.043,0,3,0,19
,12.50%,6.25% 12.50% 18.75% 12.50% 12.50%,,,,6.25% 12.50%,,6.25%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7409-601,0,1,3,4,2,0,0,0,0,0,0,0,0,10,3.433,0,0,0,10
MORRISS A,0.00% 10.00% 30.00% 40.00% 20.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,3,4,2,0,0,0,0,0,0,0,0,10,3.433,0,0,0,10
,0.00% 10.00% 30.00% 40.00% 20.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7412-601,0,0,0,6,10,6,0,0,0,0,0,0,0,22,3,0,1,0,23
ZADEH J,0.00%,0.00%,0.00% 27.27% 45.45% 27.27%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,0,6,10,6,0,0,0,0,0,0,0,22,3,0,1,0,23
,0.00%,0.00%,0.00% 27.27% 45.45% 27.27%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7415-601,0,2,2,3,2,2,0,0,0,0,0,0,0,11,3.333,0,0,0,11
SPURLOCK J,0.00% 18.18% 18.18% 27.27% 18.18% 18.18%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,3,2,2,0,0,0,0,0,0,0,11,3.333,0,0,0,11
,0.00% 18.18% 18.18% 27.27% 18.18% 18.18%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7435-601,2,1,1,3,5,1,0,0,0,0,0,0,0,13,3.334,0,1,0,14
MAGNUSON W15.38%,,7.69%,7.69% 23.08% 38.46%,,7.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,2,1,1,3,5,1,0,0,0,0,0,0,0,13,3.334,0,1,0,14
,15.38%,7.69%,7.69% 23.08% 38.46%,,7.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7437-601,0,1,1,4,0,0,0,0,0,0,0,0,0,6,3.498,0,1,0,7
AZIZ S,0.00% 16.67% 16.67% 66.67%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,1,4,0,0,0,0,0,0,0,0,0,6,3.498,0,1,0,7
,0.00% 16.67% 16.67% 66.67%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7454-601,1,2,6,6,4,7,4,0,0,0,0,0,0,30,3.134,0,16,0,46
NEWMAN N,3.33%,6.67% 20.00% 20.00% 13.33% 23.33% 13.33%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,6,6,4,7,4,0,0,0,0,0,0,30,3.134,0,16,0,46
,3.33%,6.67% 20.00% 20.00% 13.33% 23.33% 13.33%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7484-601,0,2,0,5,4,2,0,0,0,0,0,0,0,13,3.23,0,6,0,19
VISHNUBHAKAT S,0.00% 15.38%,,0.00% 38.46% 30.77% 15.38%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,0,5,4,2,0,0,0,0,0,0,0,13,3.23,0,6,0,19
,0.00% 15.38%,,0.00% 38.46% 30.77% 15.38%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7488-601,1,1,1,6,1,0,0,2,0,0,0,0,1,13,2.973,0,5,0,18
HENNING W,7.69%,7.69%,7.69% 46.15%,7.69%,0.00%,0.00% 15.38%,,0.00%,0.00%,0.00%,0.00%,7.69%,,,,,,,
COURSE TOTAL:,1,1,1,6,1,0,0,2,0,0,0,0,1,13,2.973,0,5,0,18
,7.69%,7.69%,7.69% 46.15%,7.69%,0.00%,0.00% 15.38%,,0.00%,0.00%,0.00%,0.00%,7.69%,,,,,,,
LAW-7493-601,0,1,3,2,1,2,0,0,0,0,0,0,0,9,3.334,0,1,0,10
WOODCOCK D,0.00% 11.11% 33.33% 22.22% 11.11% 22.22%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,3,2,1,2,0,0,0,0,0,0,0,9,3.334,0,1,0,10
,0.00% 11.11% 33.33% 22.22% 11.11% 22.22%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7516-601,0,2,2,2,2,1,2,0,0,0,0,0,0,11,3.211,0,2,0,13
